fc_shield,,fc,,fc_center,,pl_shield,,pl,,pl_center,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
,,20.610101501157914,17.74628329712458,29.53019098913059,10.844950903798356,,,42.30000330875463,24.45982433280928,37.699115046537145,22.112432362290157
,,20.610101501157914,17.276804903020757,30.703886974390155,10.657159546156826,,,43.004220899910365,25.16404192396502,38.168593440640976,22.58191075639398
,,20.610101501157914,16.901222187737694,31.736739441418564,10.51631602792568,,,43.802334169886876,25.915207354531134,38.68501967415518,23.098336989908187
,,20.610101501157914,16.337848114813113,32.394009193163924,10.751055224977591,,,44.412656082221844,26.525529266866112,39.154498068258995,23.567815384012015
,,20.610101501157914,15.633630523657374,33.286018141961186,11.07969010085027,,,,,39.623976462362826,24.03729377811584
,,20.610101501157914,15.070256450732781,34.178027090758455,11.408324976722946,,,,,40.09345485646665,24.55372001163005
,,20.610101501157914,14.600778056628958,34.97614036073496,12.206438246699449,,,,,40.65682892939124,25.070146245144254
,,20.610101501157914,13.896560465473218,35.77425363071146,13.00455151667595,,,,,41.22020300231583,25.680468157479226
,,20.610101501157914,13.333186392548628,36.00899282776337,13.708769107831689,,,,,41.45494219936774,25.915207354531134
,,20.610101501157914,12.957603677265567,36.24373202481529,14.506882377808191,,,,,,
,,20.610101501157914,12.76981231962404,36.4784712218672,15.304995647784695,,,,,,
,,20.797892858799447,12.441177443751362,37.135740973612556,15.351943487195078,,,,,,
,,21.220423413492888,11.643064173774858,38.07469776182021,15.351943487195078,,,,,,
,,21.78379748641748,10.563263867336062,39.24839374707976,15.351943487195078,,,,,,
,,22.15938020170054,9.81209843676994,40.328194053518565,15.351943487195078,,,,,,
,,22.441067238162834,9.295672203255734,41.079359484084684,15.351943487195078,,,,,,
,,22.675806435214746,8.87314164856229,41.83052491465081,15.351943487195078,,,,,,
,,23.004441311087422,8.591454612099996,42.86337738167922,15.351943487195078,,,,,,
,,23.567815384012015,8.168924057406556,43.56759497283496,15.351943487195078,,,,,,
,,24.27203297516775,7.652497823892348,44.45960392163223,15.351943487195078,,,,,,
,,24.78845920868196,7.276915108609287,,,,,,,,
,,25.445728960427314,6.760488875095079,,,,,,,,
,,26.102998712172663,6.291010480991255,,,,,,,,
,,26.854164142738785,5.727636408066664,,,,,,,,
,,27.464486055073763,5.6337407292459,,,,,,,,
,,28.1687036462295,5.4928972110147525,,,,,,,,
,,28.966816916206,5.399001532193987,,,,,,,,
,,29.764930186182504,5.305105853373222,,,,,,,,
,,30.60999129556939,5.164262335142074,,,,,,,,
,,31.361156726135512,5.070366656321309,,,,,,,,
,,31.830635120239332,4.9764709775005445,,,,,,,,
